model_name,accuracy
model_22_659.pth,0.999
model_22_660.pth,1.0
model_22_661.pth,0.998
model_22_662.pth,0.999
model_22_663.pth,1.0
model_22_664.pth,0.999
model_22_665.pth,0.999
model_22_666.pth,0.999
model_22_667.pth,0.999
model_22_668.pth,0.999
model_22_669.pth,0.999
model_22_670.pth,0.999
model_22_671.pth,0.999
model_22_672.pth,0.999
model_22_673.pth,1.0
model_22_674.pth,1.0
model_22_675.pth,0.999
model_22_676.pth,0.999
model_22_677.pth,0.999
model_22_678.pth,0.999
model_22_679.pth,0.999
model_22_680.pth,0.999
model_22_681.pth,0.999
model_22_682.pth,0.998
model_22_683.pth,0.999
model_22_684.pth,0.998
model_22_685.pth,1.0
model_22_686.pth,0.999
model_22_687.pth,0.999
model_22_688.pth,0.999
model_22_689.pth,0.999
model_22_690.pth,0.999
model_22_691.pth,0.999
model_22_692.pth,0.999
model_22_693.pth,0.999
model_22_694.pth,1.0
model_22_695.pth,0.999
model_22_696.pth,0.999
model_22_697.pth,1.0
model_22_698.pth,0.999
model_22_699.pth,0.999
model_22_700.pth,1.0
model_22_701.pth,0.999
model_22_702.pth,1.0
model_22_703.pth,0.999
model_22_704.pth,0.999
model_22_705.pth,1.0
model_22_706.pth,0.999
model_22_707.pth,0.999
model_22_708.pth,1.0
model_22_709.pth,0.999
model_22_710.pth,0.999
model_22_711.pth,0.999
model_22_712.pth,0.997
model_22_713.pth,0.999
model_22_714.pth,0.999
model_22_715.pth,0.999
model_22_716.pth,0.999
model_22_717.pth,0.998
model_22_718.pth,0.997
model_22_719.pth,0.999
model_22_720.pth,0.999
model_22_721.pth,0.999
model_22_722.pth,0.999
model_22_723.pth,1.0
model_22_724.pth,0.999
model_22_725.pth,0.999
model_22_726.pth,0.999
model_22_727.pth,0.999
model_22_728.pth,0.999
model_22_729.pth,0.999
model_22_730.pth,0.999
model_22_731.pth,0.999
model_22_732.pth,0.999
model_22_733.pth,0.999
model_22_734.pth,1.0
model_22_735.pth,0.999
model_22_736.pth,0.999
model_22_737.pth,0.999
model_22_738.pth,0.999
model_22_739.pth,0.999
model_22_740.pth,1.0
model_22_741.pth,1.0
model_22_742.pth,1.0
model_22_743.pth,0.999
model_22_744.pth,0.999
model_22_745.pth,0.999
model_22_746.pth,0.999
model_22_747.pth,0.999
model_22_748.pth,0.997
model_22_749.pth,0.999
model_22_750.pth,0.999
model_22_751.pth,0.999
model_22_752.pth,0.999
model_22_753.pth,1.0
model_22_754.pth,0.999
model_22_755.pth,0.999
model_22_756.pth,0.999
model_22_757.pth,0.999
model_22_758.pth,0.999
model_22_759.pth,0.999
model_22_760.pth,1.0
model_22_761.pth,0.998
model_22_762.pth,0.998
model_22_763.pth,0.999
model_22_764.pth,1.0
model_22_765.pth,0.998
model_22_766.pth,0.999
model_22_767.pth,0.999
model_22_768.pth,0.999
model_22_769.pth,0.999
model_22_770.pth,0.999
model_22_771.pth,0.999
model_22_772.pth,0.999
model_22_773.pth,0.999
model_22_774.pth,0.999
model_22_775.pth,0.999
model_22_776.pth,0.999
model_22_777.pth,1.0
model_22_778.pth,0.999
model_22_779.pth,1.0
model_22_780.pth,1.0
model_22_781.pth,1.0
model_22_782.pth,0.999
model_22_783.pth,0.999
model_22_784.pth,0.999
model_22_785.pth,0.999
model_22_786.pth,1.0
model_22_787.pth,0.999
model_22_788.pth,0.999
model_22_789.pth,0.998
model_22_790.pth,1.0
model_22_791.pth,0.999
model_22_792.pth,0.999
model_22_793.pth,0.999
model_22_794.pth,0.999
model_22_795.pth,0.999
model_22_796.pth,0.999
model_22_797.pth,1.0
model_22_798.pth,1.0
model_22_799.pth,0.999
model_22_800.pth,0.999
model_22_801.pth,0.999
model_22_802.pth,0.999
model_22_803.pth,0.997
model_22_804.pth,0.999
model_22_805.pth,1.0
model_22_806.pth,0.999
model_22_807.pth,0.999
model_22_808.pth,0.999
model_22_809.pth,0.999
model_22_810.pth,0.999
model_22_811.pth,0.999
model_22_812.pth,0.999
model_22_813.pth,0.999
model_22_814.pth,0.999
model_22_815.pth,0.997
model_22_816.pth,0.999
model_22_817.pth,1.0
model_22_818.pth,0.999
model_22_819.pth,1.0
model_22_820.pth,1.0
model_22_821.pth,1.0
model_22_822.pth,0.999
model_22_823.pth,0.999
model_22_824.pth,0.998
model_22_825.pth,0.997
model_22_826.pth,0.999
model_22_827.pth,0.999
model_22_828.pth,1.0
model_22_829.pth,0.999
model_22_830.pth,0.999
model_22_831.pth,0.999
model_22_832.pth,1.0
model_22_833.pth,0.999
model_22_834.pth,0.999
model_22_835.pth,0.999
model_22_836.pth,1.0
model_22_837.pth,1.0
model_22_838.pth,0.999
model_22_839.pth,1.0
model_22_840.pth,0.999
model_22_841.pth,0.999
model_22_842.pth,0.999
model_22_843.pth,0.999
model_22_844.pth,1.0
model_22_845.pth,0.999
model_22_846.pth,1.0
model_22_847.pth,0.999
model_22_848.pth,0.997
model_22_849.pth,0.999
model_22_850.pth,0.998
model_22_851.pth,0.999
model_22_852.pth,0.999
model_22_853.pth,1.0
model_22_854.pth,1.0
model_22_855.pth,0.999
model_22_856.pth,0.999
model_22_857.pth,0.999
model_22_858.pth,0.999
model_22_859.pth,0.999
model_22_860.pth,1.0
model_22_861.pth,0.999
model_22_862.pth,0.998
model_22_863.pth,0.999
model_22_864.pth,0.999
model_22_865.pth,0.999
model_22_866.pth,0.999
model_22_867.pth,1.0
model_22_868.pth,0.999
model_22_869.pth,0.999
model_22_870.pth,0.999
model_22_871.pth,1.0
model_22_872.pth,0.999
model_22_873.pth,0.999
model_22_874.pth,0.999
model_22_875.pth,0.999
model_22_876.pth,1.0
model_22_877.pth,0.999
model_22_878.pth,0.999
model_22_879.pth,0.999
model_22_880.pth,1.0
model_22_881.pth,0.999
model_22_882.pth,0.997
model_22_883.pth,0.999
model_22_884.pth,0.999
model_22_885.pth,0.999
model_22_886.pth,0.999
model_22_887.pth,0.999
model_22_888.pth,0.999
model_22_889.pth,0.999
model_22_890.pth,0.999
model_22_891.pth,0.999
model_22_892.pth,0.999
model_22_893.pth,0.999
model_22_894.pth,0.997
model_22_895.pth,1.0
model_22_896.pth,0.999
model_22_897.pth,0.999
model_22_898.pth,0.999
model_22_899.pth,1.0
model_22_900.pth,0.999
model_22_901.pth,0.999
model_22_902.pth,0.999
model_22_903.pth,0.999
model_22_904.pth,0.999
model_22_905.pth,1.0
model_22_906.pth,1.0
model_22_907.pth,0.999
model_22_908.pth,1.0
model_22_909.pth,0.999
model_22_910.pth,0.999
model_22_911.pth,1.0
model_22_912.pth,0.999
model_22_913.pth,0.999
model_22_914.pth,1.0
model_22_915.pth,0.999
model_22_916.pth,0.999
model_22_917.pth,0.999
model_22_918.pth,0.998
model_22_919.pth,0.999
model_22_920.pth,1.0
model_22_921.pth,0.999
model_22_922.pth,0.999
model_22_923.pth,0.999
model_22_924.pth,1.0
model_22_925.pth,0.998
model_22_926.pth,0.999
model_22_927.pth,0.999
model_22_928.pth,0.999
model_22_929.pth,0.999
model_22_930.pth,1.0
model_22_931.pth,0.999
model_22_932.pth,0.999
model_22_933.pth,0.999
model_22_934.pth,0.999
model_22_935.pth,0.999
model_22_936.pth,0.999
model_22_937.pth,0.999
model_22_938.pth,0.999
model_22_939.pth,0.999
model_22_940.pth,0.999
model_22_941.pth,1.0
model_22_942.pth,0.999
model_22_943.pth,0.999
model_22_944.pth,0.999
model_22_945.pth,0.997
model_22_946.pth,0.998
model_22_947.pth,1.0
model_22_948.pth,0.999
model_22_949.pth,0.999
model_22_950.pth,1.0
model_22_951.pth,0.999
model_22_952.pth,0.999
model_22_953.pth,0.999
model_22_954.pth,0.999
model_22_955.pth,0.999
model_22_956.pth,0.999
model_22_957.pth,0.999
model_22_958.pth,0.997
model_22_959.pth,0.986
model_22_960.pth,0.999
model_22_961.pth,0.999
model_22_962.pth,1.0
model_22_963.pth,0.999
model_22_964.pth,1.0
model_22_965.pth,0.999
model_22_966.pth,0.999
model_22_967.pth,0.999
model_22_968.pth,0.999
model_22_969.pth,0.999
model_22_970.pth,0.999
model_22_971.pth,0.999
model_22_972.pth,1.0
model_22_973.pth,1.0
model_22_974.pth,1.0
model_22_975.pth,0.999
model_22_976.pth,0.998
model_22_977.pth,0.999
model_22_978.pth,0.999
model_22_979.pth,0.999
model_22_980.pth,1.0
model_22_981.pth,1.0
model_22_982.pth,1.0
model_22_983.pth,0.999
model_22_984.pth,0.999
model_22_985.pth,0.999
model_22_986.pth,0.999
model_22_987.pth,0.999
model_22_988.pth,0.999
model_22_989.pth,0.999
model_22_990.pth,0.997
model_22_991.pth,0.999
model_22_992.pth,0.996
model_22_993.pth,0.999
model_22_994.pth,0.997
model_22_995.pth,0.999
model_22_996.pth,1.0
model_22_997.pth,0.999
model_22_998.pth,0.998
model_22_999.pth,0.998
model_22_1000.pth,0.999
model_22_1001.pth,1.0
model_22_1002.pth,0.994
model_22_1003.pth,0.999
model_22_1004.pth,0.999
model_22_1005.pth,0.999
model_22_1006.pth,0.999
model_22_1007.pth,0.999
model_22_1008.pth,0.998
model_22_1009.pth,0.998
model_22_1010.pth,0.999
model_22_1011.pth,0.999
model_22_1012.pth,1.0
model_22_1013.pth,0.999
model_22_1014.pth,0.999
model_22_1015.pth,0.997
model_22_1016.pth,0.999
model_22_1017.pth,0.999
model_22_1018.pth,0.999
model_22_1019.pth,0.997
model_22_1020.pth,0.998
model_22_1021.pth,0.999
model_22_1022.pth,0.999
model_22_1023.pth,1.0
model_22_1024.pth,0.998
model_22_1025.pth,0.999
model_22_1026.pth,0.998
model_22_1027.pth,0.999
model_22_1028.pth,0.999
model_22_1029.pth,0.999
model_22_1030.pth,0.999
model_22_1031.pth,1.0
model_22_1032.pth,0.999
model_22_1033.pth,0.999
model_22_1034.pth,0.999
model_22_1035.pth,0.999
model_22_1036.pth,1.0
model_22_1037.pth,1.0
model_22_1038.pth,1.0
model_22_1039.pth,0.999
model_22_1040.pth,0.999
model_22_1041.pth,1.0
model_22_1042.pth,0.999
model_22_1043.pth,0.999
model_22_1044.pth,0.997
model_22_1045.pth,0.999
model_22_1046.pth,0.999
model_22_1047.pth,0.999
model_22_1048.pth,1.0
model_22_1049.pth,0.999
model_22_1050.pth,0.998
model_22_1051.pth,1.0
model_22_1052.pth,0.999
model_22_1053.pth,0.999
model_22_1054.pth,0.999
model_22_1055.pth,0.999
model_22_1056.pth,0.999
model_22_1057.pth,0.999
model_22_1058.pth,1.0
model_22_1059.pth,0.999
model_22_1060.pth,0.999
model_22_1061.pth,0.999
model_22_1062.pth,0.999
model_22_1063.pth,0.999
model_22_1064.pth,0.998
model_22_1065.pth,0.999
model_22_1066.pth,0.999
model_22_1067.pth,0.999
model_22_1068.pth,1.0
