model_name,accuracy
model_180_148.pth,1.0
model_180_149.pth,1.0
model_180_150.pth,0.904
model_180_151.pth,1.0
model_180_152.pth,0.999
model_180_153.pth,0.886
model_180_154.pth,0.999
model_180_155.pth,0.999
model_180_156.pth,0.999
model_180_157.pth,0.999
model_180_158.pth,0.999
model_180_159.pth,0.905
model_180_160.pth,1.0
model_180_161.pth,1.0
model_180_162.pth,0.904
model_180_163.pth,1.0
model_180_164.pth,0.999
model_180_165.pth,0.999
model_180_166.pth,0.999
model_180_167.pth,0.999
model_180_168.pth,0.999
model_180_169.pth,0.995
model_180_170.pth,0.999
model_180_171.pth,0.997
model_180_172.pth,0.999
model_180_173.pth,0.905
model_180_174.pth,0.999
model_180_175.pth,0.999
model_180_176.pth,1.0
model_180_177.pth,1.0
model_180_178.pth,1.0
model_180_179.pth,0.999
model_180_180.pth,1.0
model_180_181.pth,0.999
model_180_182.pth,0.903
model_180_183.pth,0.999
model_180_184.pth,0.997
model_180_185.pth,0.999
model_180_186.pth,0.999
model_180_187.pth,1.0
model_180_188.pth,0.999
model_180_189.pth,0.997
model_180_190.pth,0.999
model_180_191.pth,0.999
model_180_192.pth,0.994
model_180_193.pth,0.999
model_180_194.pth,0.999
model_180_195.pth,1.0
model_180_196.pth,0.999
model_180_197.pth,0.999
model_180_198.pth,0.906
model_180_199.pth,0.999
model_225_0.pth,0.994
model_225_1.pth,0.999
model_225_2.pth,0.999
model_225_3.pth,1.0
model_225_4.pth,0.999
model_225_5.pth,1.0
model_225_6.pth,0.999
model_225_7.pth,0.893
model_225_8.pth,0.998
model_225_9.pth,1.0
model_225_10.pth,1.0
model_225_11.pth,0.999
model_225_12.pth,0.999
model_225_13.pth,0.999
model_225_14.pth,0.996
model_225_15.pth,0.999
model_225_16.pth,0.999
model_225_17.pth,1.0
model_225_18.pth,0.999
model_225_19.pth,0.997
model_225_20.pth,0.999
model_225_21.pth,0.997
model_225_22.pth,0.898
model_225_23.pth,1.0
model_225_24.pth,0.999
model_225_25.pth,0.993
model_225_26.pth,1.0
model_225_27.pth,0.999
model_225_28.pth,1.0
model_225_29.pth,0.898
model_225_30.pth,0.999
model_225_31.pth,0.999
model_225_32.pth,0.999
model_225_33.pth,0.904
model_225_34.pth,0.996
model_225_35.pth,1.0
model_225_36.pth,0.999
model_225_37.pth,0.997
model_225_38.pth,0.998
model_225_39.pth,0.999
model_225_40.pth,0.905
model_225_41.pth,0.998
model_225_42.pth,0.897
model_225_43.pth,0.999
model_225_44.pth,0.999
model_225_45.pth,0.999
model_225_46.pth,0.999
model_225_47.pth,0.999
model_225_48.pth,0.997
model_225_49.pth,0.997
model_225_50.pth,0.999
model_225_51.pth,0.877
model_225_52.pth,0.998
model_225_53.pth,0.896
model_225_54.pth,0.901
model_225_55.pth,0.999
model_225_56.pth,0.897
model_225_57.pth,0.999
model_225_58.pth,0.999
model_225_59.pth,0.9
model_225_60.pth,1.0
model_225_61.pth,0.999
model_225_62.pth,0.896
model_225_63.pth,0.999
model_225_64.pth,0.998
model_225_65.pth,0.999
model_225_66.pth,0.999
model_225_67.pth,0.999
model_225_68.pth,0.999
model_225_69.pth,0.998
model_225_70.pth,0.999
model_225_71.pth,0.894
model_225_72.pth,0.997
model_225_73.pth,0.999
